"time" "amplitude" "baseline_var"
0 -0.00519930226411408 0.323783878004178
10 0.00277548404874262 0.0438604545779526
20 -0.00395229135752193 0.994831175543368
30 1.51060742057264e-05 0.105932410107926
40 0.00742000959635424 0.602703541284427
50 -0.00848770144872182 0.62469053058885
60 0.00790894904984774 0.559516778681427
70 0.00662904310735248 0.323607937898487
80 0.00919352477106131 0.255160177359357
90 0.00513904750524709 0.174149605911225
100 -0.00860423977510756 0.225881788181141
110 0.00632687093985874 0.861545489868149
120 -0.00076946714733717 0.884330831933767
130 -0.000787540699526752 0.24459716794081
140 0.0108316371995047 0.66582939052023
150 0.00592080046130111 0.659179618116468
160 -0.000374970324207971 0.92130936565809
170 0.00426786698951281 0.79218074423261
180 0.00504791970072137 0.346645997138694
190 0.0113702509683638 0.653638072311878
200 0.00622030421683967 0.923759711207822
210 0.00324842644053145 0.543819486862049
220 -0.000727682221784987 0.870921159861609
230 -0.0006246891522935 0.950899176066741
240 0.0032334420282459 0.184369010617957
250 0.01083020590117 0.525707050925121
260 0.00370504610149396 0.985196817200631
270 -0.00248301494721313 0.540973024675623
280 0.00146756560557988 0.274577684234828
290 0.00967585699322859 0.882045926759019
300 0.00436901952598832 0.913469206308946
310 -0.00582304267375962 0.996917517157272
320 0.00363489150749322 0.877844095230103
330 0.00489472275947657 0.0455945725552738
340 0.0045876148735081 0.323996448190883
350 0.00460581645891417 0.318000199971721
360 -0.00161720203353908 0.919160636840388
370 0.00255253860521343 0.885468036169186
380 -0.00304011133889567 0.941605610540137
390 0.00127553364919287 0.99036595178768
400 0.00293750099041544 0.328673754818738
10000 0.00581843848319097 0.878087686141953
10010 -0.00564375841265838 0.270080861635506
10020 0.00502159152796167 0.757455238839611
10030 0.00381030293348526 0.424622245132923
10040 0.00520384683524091 0.696443317225203
10050 0.0102907870665628 0.0028369075153023
10060 -0.000231637381062112 0.668945564189926
10070 -0.00477863313080435 0.438954301411286
10080 -0.00529640207296837 0.0193022170569748
10090 -0.00632142075388973 0.732044164324179
10100 0.00670584371066529 0.597762645222247
10110 0.00799440058873917 0.771870290627703
10120 0.00317966491191016 0.599899394670501
10130 0.0117508326350614 0.799139980459586
10140 0.0120678634190926 0.882408928126097
10150 0.00654182857770073 0.360424879472703
10160 0.00729952544010771 0.26453541428782
10170 0.0042175018261618 0.077568520558998
10180 0.00252315639989762 0.109060510294512
10190 0.00597110887224747 0.688108270056546
10200 0.00532787492072161 0.905133830150589
10210 -0.00463146910722849 0.828292339574546
10220 0.0120922722720579 0.905521045904607
10230 0.000275236295659978 0.436352134682238
10240 0.00384320196067251 0.300086983479559
10250 0.00546538430689341 0.118683914886788
10260 0.00671923008682544 0.212382735684514
10270 0.00604315599674069 0.385666972724721
10280 0.00111793536431038 0.120465386193246
10290 -0.00179143115130639 0.885344757931307
10300 -0.00739383846960766 0.71103698736988
