"expression" "trial"
"1" 101.205343684906 1
"2" 121.570066901128 1
"3" 139.038476582596 1
"4" 136.332193684691 1
"5" 99.1460247700843 1
"6" 109.821522303746 1
"7" 135.542398640031 1
"8" 121.287489738201 1
"9" 101.534658877176 1
"10" 106.36664732821 1
"11" 138.940651432529 1
"12" 122.147938841088 1
"13" 113.893477825837 1
"14" 119.078252204346 1
"15" 108.01805462002 1
"16" 125.616759866965 1
"17" 128.957012567806 1
"18" 126.07835774487 1
"19" 110.116971207456 1
"20" 115.064614108088 1
"21" 125.468471058769 1
"22" 115.687808116932 1
"23" 108.360400796271 1
"24" 122.413931807364 1
"25" 137.763868118354 1
"26" 127.226269812551 1
"27" 123.670934897995 1
"28" 124.323546594845 1
"29" 129.559693936332 1
"30" 123.424937542474 1
"31" 114.389070111955 1
"32" 117.8569381925 1
"33" 114.228963611726 1
"34" 126.937454996664 1
"35" 134.79272733861 1
"36" 119.237014045657 1
"37" 131.503617176055 1
"38" 112.012766140948 1
"39" 127.352934509985 1
"40" 131.870252069238 1
"41" 125.334995681236 1
"42" 131.19306324837 1
"43" 126.971290335095 1
"44" 116.617469911464 1
"45" 106.587464846765 1
"46" 124.760674214634 1
"47" 111.136762365487 1
"48" 125.023225790985 1
"49" 109.765021021382 1
"50" 127.726952307319 1
"51" 122.646292933814 1
"52" 134.986461584732 1
"53" 121.453863131271 1
"54" 132.242910154639 1
"55" 139.00697528006 2
"56" 127.23512364084 2
"57" 132.211980280504 2
"58" 142.420382243185 2
"59" 109.578140912968 2
"60" 126.899570283278 2
"61" 124.924357494745 2
"62" 130.553555043968 2
"63" 126.613128886614 2
"64" 137.751233050848 2
"65" 111.682495169228 2
"66" 134.507574229441 2
"67" 120.629905861052 2
"68" 132.37147434251 2
"69" 134.861923890875 2
"70" 119.880945488286 2
"71" 151.319859239683 2
"72" 149.06260855003 2
"73" 114.310378069632 2
"74" 139.203193045184 2
"75" 130.23272953151 2
"76" 122.242450870426 2
"77" 140.5035025067 2
"78" 117.099494914925 2
"79" 153.152895457361 2
"80" 131.665988491904 2
"81" 132.146563429867 2
"82" 145.047292221836 2
"83" 136.451919341016 2
"84" 123.620640783354 2
"85" 149.089230226211 2
"86" 147.552162178558 2
"87" 133.122775968834 2
"88" 132.561218307322 2
"89" 130.607770870028 2
"90" 144.628879971244 2
"91" 141.873479976217 2
"92" 129.271298685481 2
"93" 121.787658159369 2
"94" 133.110015507718 2
"95" 138.605479935539 2
"96" 130.175096311053 2
"97" 133.266488561997 2
"98" 127.829686184216 2
"99" 136.11507182539 2
"100" 131.832936526857 2
"101" 124.196837129492 2
"102" 126.026556444525 2
"103" 115.669080927036 2
"104" 123.031606771764 2
"105" 131.487962704836 2
"106" 95.9862345740926 2
"107" 115.869356310697 2
"108" 139.883965866818 2
"109" 131.230191432558 2
"110" 129.915717154861 2
"111" 139.49985697441 2
"112" 138.530386903724 2
"113" 127.012349016178 2
"114" 130.683025937213 2
"115" 117.49911111629 2
"116" 124.103218493452 2
"117" 130.308324339491 2
"118" 123.528893114666 3
"119" 114.012137717235 3
"120" 112.972819018083 3
"121" 113.205883605103 3
"122" 113.183101193558 3
"123" 122.349908732309 3
"124" 108.134032786563 3
"125" 106.153563634583 3
"126" 111.763957915011 3
"127" 94.4046299555174 3
"128" 117.02707902388 3
"129" 113.436637850466 3
"130" 109.59011823596 3
"131" 111.595485285558 3
"132" 120.504531359519 3
"133" 104.505488782642 3
"134" 117.517236661274 3
"135" 104.800389692472 3
"136" 111.063398526725 3
"137" 104.637734482656 3
"138" 110.196047326618 3
"139" 119.476055379224 3
"140" 121.498938691308 3
"141" 98.1264424057703 3
"142" 108.244315625909 3
"143" 108.176098019975 3
"144" 108.83102152311 3
"145" 120.195825181542 3
"146" 113.264736601118 3
"147" 95.9692830321976 3
"148" 111.278459196825 3
"149" 125.24238216525 3
"150" 109.327025958376 3
"151" 96.0110963329159 3
"152" 116.48995389491 3
"153" 120.503583090611 3
"154" 106.238647498863 3
"155" 114.816314641929 3
"156" 108.191539962216 3
"157" 100.603011320066 3
"158" 110.398612878005 3
